ticker,close_date,close_price,date_after_gap,price_after_gap,change_price_after_gap
GEMA,2023-09-25 00:00:00,1126.0,2023-10-25 00:00:00,1085.0,0.9635879218472468
GEMA,2023-12-25 00:00:00,998.5,2024-01-24 00:00:00,1011.0,1.0125187781672509
GLTR,2021-04-29 00:00:00,464.0,2021-05-29 00:00:00,473.9,1.0213362068965517
GLTR,2021-09-07 00:00:00,585.95,2021-10-07 00:00:00,591.75,1.009898455499616
HHRU,2021-06-09 00:00:00,2645.0,2021-07-09 00:00:00,3350.5,1.2667296786389417
HIMCP,2021-07-11 00:00:00,8.05,2021-08-10 00:00:00,8.12,1.0086956521739128
HIMCP,2022-07-11 00:00:00,8.45,2022-08-10 00:00:00,7.91,0.9360946745562132
HYDR,2021-07-10 00:00:00,0.8346,2021-08-09 00:00:00,0.824,0.9872993050563144
HYDR,2022-07-10 00:00:00,0.8025,2022-08-09 00:00:00,0.755,0.940809968847352
HYDR,2023-07-11 00:00:00,0.8293,2023-08-10 00:00:00,0.9009,1.086337875316532
INGR,2021-07-18 00:00:00,1317.0,2021-08-17 00:00:00,1219.0,0.9255884586180714
IRAO,2021-06-07 00:00:00,5.0125,2021-07-07 00:00:00,4.7055,0.9387531172069824
IRAO,2022-06-10 00:00:00,3.14,2022-07-10 00:00:00,3.399,1.082484076433121
IRAO,2023-05-30 00:00:00,4.1225,2023-06-29 00:00:00,4.0425,0.9805942995755004
JNOS,2021-07-13 00:00:00,18.95,2021-08-12 00:00:00,19.85,1.0474934036939314
JNOS,2022-07-15 00:00:00,13.75,2022-08-14 00:00:00,13.85,1.007272727272727
JNOS,2023-07-18 00:00:00,29.55,2023-08-17 00:00:00,29.8,1.0084602368866329
JNOSP,2021-07-13 00:00:00,13.8,2021-08-12 00:00:00,13.8,1.0
JNOSP,2022-07-15 00:00:00,9.78,2022-08-14 00:00:00,9.7,0.9918200408997956
JNOSP,2023-07-18 00:00:00,19.86,2023-08-17 00:00:00,17.7,0.8912386706948641
KAZT,2021-05-11 00:00:00,224.2,2021-06-10 00:00:00,230.6,1.0285459411239966
KAZT,2021-12-22 00:00:00,371.8,2022-01-21 00:00:00,346.2,0.9311457772996234
KAZT,2022-05-23 00:00:00,427.0,2022-06-22 00:00:00,420.0,0.9836065573770492
KAZT,2022-10-03 00:00:00,395.0,2022-11-02 00:00:00,411.6,1.0420253164556963
KAZT,2023-05-22 00:00:00,686.2,2023-06-21 00:00:00,632.0,0.9210142815505684
KAZT,2023-12-12 00:00:00,658.0,2024-01-11 00:00:00,654.4,0.9945288753799392
KAZTP,2021-05-11 00:00:00,225.6,2021-06-10 00:00:00,223.6,0.9911347517730495
